date,time,distance,avg-speed,snow
2017-12-31,01:06:31,6.579999923706055,5.9000000953674325,31.0
2017-12-30,01:01:27,3.869999885559082,3.799999952316284,34.0
2017-12-27,00:42:26,3.640000104904175,5.099999904632568,41.0
2017-12-26,01:14:09,4.449999809265137,3.5999999046325684,36.0
2017-12-24,01:22:45,5.03000020980835,3.5999999046325684,38.0
2017-12-23,01:07:38,4.650000095367432,4.099999904632568,31.0
2017-12-21,01:10:46,5.829999923706055,4.900000095367432,22.0
2017-12-20,00:52:00,3.890000104904175,4.5,23.0
2017-12-18,01:01:39,4.429999828338623,4.300000190734863,24.0
2017-12-16,00:57:42,5.730000019073486,5.9000000953674325,26.0
2017-12-14,00:56:41,5.329999923706055,5.699999809265138,24.0
2017-12-13,01:27:01,7.1599998474121085,4.900000095367432,29.0
2017-12-11,01:02:36,4.789999961853027,4.599999904632568,23.0
2017-12-09,00:53:38,4.050000190734863,4.5,21.0
2017-12-07,01:04:20,5.730000019073486,5.400000095367432,11.0
2017-12-05,00:56:36,4.1599998474121085,4.400000095367432,10.0
2017-12-04,00:57:22,4.5,4.699999809265137,10.0
2017-12-02,01:10:35,4.579999923706055,3.9000000953674316,17.0
2017-11-30,00:50:16,4.090000152587892,4.900000095367432,8.0
2017-11-28,00:50:48,4.239999771118163,5.0,6.0
2017-11-27,01:12:00,5.579999923706055,4.599999904632568,5.0
2017-11-25,00:57:56,3.839999914169312,4.0,3.0
2017-11-23,00:49:55,3.7699999809265137,4.5,4.0
2017-11-21,00:49:14,4.400000095367432,5.400000095367432,0.0
2017-11-18,01:03:34,5.349999904632568,5.0,0.0
2017-11-16,00:43:35,3.4600000381469727,4.800000190734863,0.0
2017-11-14,00:57:15,4.449999809265137,4.699999809265137,0.0
2017-11-13,00:45:01,3.910000085830689,5.199999809265137,0.0
2017-11-11,00:44:02,4.019999980926514,5.5,0.0
2017-11-09,01:03:51,5.78000020980835,5.400000095367432,0.0
2017-11-08,00:53:24,5.130000114440918,5.800000190734862,0.0
2017-11-06,00:50:31,4.820000171661377,5.699999809265138,0.0
2017-11-04,00:51:17,4.019999980926514,4.699999809265137,6.0
2017-11-02,00:52:02,4.25,4.900000095367432,7.0
2017-10-31,00:50:06,3.869999885559082,4.599999904632568,9.0
2017-10-29,01:05:32,6.179999828338622,5.699999809265138,0.0
2017-10-28,01:12:41,5.9099998474121085,4.900000095367432,0.0
2017-10-25,00:54:07,3.7799999713897705,4.199999809265137,0.0
2017-10-24,01:02:01,5.630000114440918,5.400000095367432,0.0
2017-10-23,00:54:01,4.980000019073486,5.5,0.0
2017-10-22,01:03:04,6.239999771118164,5.9000000953674325,0.0
2017-10-21,01:13:01,6.070000171661378,5.0,0.0
2017-10-19,00:56:02,5.1599998474121085,5.5,0.0
2017-10-18,00:52:01,4.179999828338623,4.800000190734863,0.0
2017-10-16,00:34:01,2.7799999713897705,4.900000095367432,0.0
2017-10-15,01:10:19,7.389999866485598,6.300000190734862,0.0
2017-10-14,00:47:48,3.509999990463257,4.400000095367432,0.0
2017-10-11,01:00:00,5.0,5.0,0.0
2017-10-10,00:57:03,4.989999771118164,5.300000190734863,0.0
2017-10-09,00:54:33,4.53000020980835,5.0,0.0
2017-10-06,00:53:02,5.309999942779541,6.0,0.0
2017-10-05,00:47:26,4.199999809265137,5.300000190734863,0.0
2017-10-04,00:44:15,3.690000057220459,5.0,0.0
2017-10-03,00:47:07,3.609999895095825,4.599999904632568,0.0
2017-10-02,01:11:40,5.230000019073486,4.400000095367432,0.0
2017-10-01,01:02:28,4.369999885559082,4.199999809265137,-1.0
2017-09-27,00:45:03,3.890000104904175,5.199999809265137,-1.0
2017-09-24,01:27:01,6.480000019073486,4.5,-1.0
2017-09-23,00:45:59,3.839999914169312,5.0,-1.0
2017-09-21,00:47:25,4.300000190734863,5.400000095367432,-1.0
2017-09-19,00:54:02,4.440000057220459,4.900000095367432,-1.0
2017-09-19,00:54:02,4.440000057220459,4.900000095367432,-1.0
2017-09-17,00:55:29,5.050000190734863,5.5,-1.0
2017-09-16,00:56:49,5.090000152587892,5.400000095367432,-1.0
2017-09-15,01:07:58,5.989999771118164,5.300000190734863,-1.0
2017-09-13,01:08:01,6.380000114440918,5.599999904632568,-1.0
2017-09-12,00:46:24,3.990000009536743,5.099999904632568,-1.0
2017-09-12,00:46:24,3.990000009536743,5.099999904632568,-1.0
2017-09-10,00:51:01,3.759999990463257,4.400000095367432,-1.0
2017-09-09,00:31:02,1.940000057220459,3.700000047683716,-1.0
2017-09-08,01:15:30,6.809999942779541,5.400000095367432,-1.0
2017-09-07,00:39:45,3.4100000858306885,5.099999904632568,-1.0
2017-09-05,00:54:01,4.460000038146973,5.0,-1.0
2017-09-03,00:59:33,5.199999809265137,5.199999809265137,-1.0
2017-09-02,01:02:50,5.78000020980835,5.5,-1.0
2017-08-31,00:52:01,4.329999923706056,5.0,-1.0
2017-08-29,00:16:07,1.6100000143051147,6.0,0.0
2017-08-27,00:54:00,4.139999866485597,4.599999904632568,-1.0
2017-08-26,00:50:01,4.389999866485597,5.300000190734863,-1.0
2017-08-24,00:43:54,3.559999942779541,4.900000095367432,-1.0
2017-08-21,01:05:01,6.340000152587892,5.800000190734862,-1.0
2017-08-20,00:47:12,4.280000209808351,5.400000095367432,0.0
2017-08-19,00:48:52,4.2199997901916495,5.199999809265137,-1.0
2017-08-16,01:04:16,5.440000057220459,5.099999904632568,-1.0
2017-08-13,00:49:09,4.090000152587892,5.0,-1.0
2017-08-12,00:56:21,4.53000020980835,4.800000190734863,-1.0
